,company_name,job_description,position_title,description_length,model_response
638,"Dimech Services, Inc","we are seeking a detailoriented remote data entry operator to compile capture and maintain our digital database as a data entry operator you will be required to compile merge and format documents for data entry check documents for errors input data and update the database and manage the digital filing systems

to be a successful data entry operator you should possess excellent typing skills and be attentive to detail skilled data entry operators should be able to quickly identify data errors and demonstrate precision in their work

responsibilities
 gathering collating and preparing documents materials and information for data entry
 conducting research to obtain information for incomplete documents and materials
 creating digital documents from paper or dictation
 reviewing all documents and information for accuracy and informing the supervisor of any errors or inconsistencies
 capturing data into digital databases and performing regular backups
 updating and maintaining databases archives and filing systems
 monitoring and reviewing databases and correcting errors or inconsistencies
 generating and exporting data reports spreadsheets and documents as needed
 performing clerical duties such as filing monitoring office supplies scanning and printing as needed

requirements
 high school diploma or ged
  year experience as a data entry operator or similar
 excellent typing abilities
 excellent time management and multitasking abilities
 proficiency in data capturing and office management software such as ms office and google suite
 the ability to manage and process high volumes of data accurately
 good understanding of databases and digital and paper filing systems
 knowledge of administrative and clerical operations
 keen eye for detail and the ability to concentrate for extended periods
 excellent verbal and written communication skills",Data Entry Operator - REMOTE,1868," {
  ""Core Responsibilities"": ""Compiling, capturing and maintaining digital databases; Checking documents for errors; Inputting data and updating databases; Managing digital filing systems."",
  ""Required Skills"": ""Excellent typing skills; Attention to detail; Proficiency in data capturing and office management software like MS Office and Google Suite; Understanding of databases and digital/paper filing systems; Verbal and written communication skills."",
  ""Educational Requirements"": ""High school diploma or GED"", 
  ""Experience Level"": ""1-2 years experience as a data entry operator or similar role"",
  ""Preferred Qualifications"": ""N/A"",
  ""Compensation and Benefits"": ""N/A""
}"
209,JobsInLogistics.com,"company general transport inc

job description

call   today

now hiring regional company driver

benefits
 average   miles  week
 current drivers are averaging  weekly pay
  dry van no touch freight
 home weekends or raise your hand to stay out and earn extra 
 outstanding medical plan
 k plan with company match
 weekly direct deposit
 late model trucks equipped with zonar eld and prepass elite
 trucks are set to run  mph
 paid holidays sick days and a week paid vacation after  days
 monthly safety bonus
 driver referral bonus
 one day orientation akron oh

apply online below or call   today",CDL A Regional Drivers,599," {
  ""Core Responsibilities"": ""Driving freight loads an average of 2500 miles per week. No touch freight in dry vans."",
  ""Required Skills"": ""Valid commercial driver's license. Ability to drive long hours and overnight."",
  ""Educational Requirements"": ""N/A"", 
  ""Experience Level"": ""N/A"",
  ""Preferred Qualifications"": ""N/A"",
  ""Compensation and Benefits"": ""Average weekly pay of $1200. Outstanding medical plan, 401k with company match, weekly direct deposit, paid holidays/sick days/vacation, monthly safety bonus, driver referral bonus.""
}"
507,Staffing Solutions Enterprises,"editor remote or onsite

remote or onsite cleveland contract   months

this is an outstanding career opportunity with our client located in cleveland they are adding to the team to meet the demand of their growing banking organization

why work here

this is a wellestablished company with solid processes in place

they are flexible on pay range dependent on your experience

opportunity to work independently while still being supported by a team

hiring asap

in this role you will
 provide editorial services for the companys internal and external communications
 responsible for a range of duties including editing copywriting proofread coordinate printing and production provide quality control on graphic design interact with clients and other support functions

to qualify
 bachelors degree
  years technical editing experience w knowledge of chicago manual of style
 proficient with microsoft office products including excel outlook word access and internet
 excellent writing editing proofreading and grammar skills
 strong communication and relationshipbuilding skills

we are excited about this opportunity and you will be too we look forward to hearing from you

zr",Editor (Remote or Onsite),1178," {
  ""Core Responsibilities"": ""Provide editorial services for the company's internal and external communications. Responsible for a range of duties including editing copywriting, proofread, coordinate printing and production, provide quality control on graphic design, interact with clients and other support functions."",
  ""Required Skills"": ""Proficient with Microsoft Office products including Excel, Outlook, Word, Access and internet. Excellent writing, editing, proofreading and grammar skills. Strong communication and relationship building skills."", 
  ""Educational Requirements"": ""Bachelor's degree"",
  ""Experience Level"": ""2 years technical editing experience w/ knowledge of Chicago Manual of Style"",
  ""Preferred Qualifications"": ""N/A"",
  ""Compensation and Benefits"": ""N/A""
}"
94,Alley,"were not looking for rockstars zombies or magicians were looking for motivated creative and resourceful developers who take pride in their work and want to partner with clients who are pushing the boundaries of the technology we work with

software developers at alley work collaboratively to understand the challenges facing our clients and implement effective and meaningful technological solutions frequently using wordpress your responsibilities will range from technical discovery that informs custom feature builds to custom architecture and development to largescale data migrations for a high volume of content

software developers at alley need to be wellrounded technologists who have a holistic understanding of the web technology stacks that we work with are excited about keeping our team at the cutting edge and are eager to work directly with clients to help them solve interesting and novel business problems

alley is an equal opportunity employer and we seek to increase diversity in the tech industry we encourage applications from women black people indigenous people people of color lgbtqia people disabled people and other communities traditionally underrepresented in this field to learn more about how alley values diversity equity and inclusion read our dei pledge 

for information on our hiring process and what its like to work at alley please check out our faq  if you have any questions about our hiring process please contact us at hiringalleyco

qualifications
 this is not an entrylevel position we expect candidates to have some professional experience writing software seasoned developers will flourish with our balance of independence and support while entrylevel developers would not get the direct oversight they need to succeed
 our primary development language is php you must be fully fluent in php and have worked with it in a professional context before
 prior experience with wordpress andor laravel is a major plus if you havent worked with either you should be excited to learn and develop with them
 we make heavy use of es next javascript particularly react as well as node and related tooling including webpack previous experience is a plus and a willingness to learn it is essential
 alley prides itself on its ability to address unusual novel and complex problems that deal with the intersection of technology business and content production you should understand and be able to discuss web technologies and systems conceptually and be able to demonstrate that you can learn a new language technology stack or framework quickly and on demand
 you should feel comfortable at a unix command line even if you arent an expert
 you must know your way around git and understand version control well and be able to carry out typical operations with it including branching merging submitting code for peer review and reviewing your peers code yourself
 we apply scrum as a development methodology and broadly endorse agile as a philosophy you must be open to working this way as well and prior experience is a plus
 you should also have very strong written and verbal communication skills and the ability to wield them with both team members and clients
 discipline concerning delivery dates stylistic appreciation of what makes code good and readable and a committed attitude about documentation user stories issue tracking and timesheets are all very important skills for our developers to have

benefits
 competitive salaries we recognize several levels of career progression for developers and tie compensation to those levels corresponding to their seniority and experience we are currently searching for developer candidates to join us with base salaries starting at   and  if you consider yourself to be at a higher level we still encourage you to apply and can discuss additional opportunities with you
 medical dental and vision benefits
  with company matching
 profit sharing
 monthly lunch allowance
 flexible schedules we do not limit vacation or sick time we trust our team members to get their work done and take the time off they need to recharge
 remote first we are a fully distributed company meaning we dont have a set work location team members can choose to work from home or from a coworking space well furnish your home office or rent you a coworking space

recruiters please do not contact us about this job all hiring duties at alley are carried out by our staff",Software Developer,4431," {
  ""Core Responsibilities"": ""Responsibilities include technical discovery, custom feature builds, custom architecture and development, and large-scale data migrations."",
  ""Required Skills"": ""Proficiency in PHP, familiarity with WordPress and/or Laravel, JavaScript/React/Node experience, conceptual understanding of web technologies, ability to learn new tech quickly, Unix command line experience, Git and version control skills, Agile/Scrum methodology, excellent written and verbal communication."",
  ""Educational Requirements"": ""N/A"",
  ""Experience Level"": ""Not an entry-level position, professional experience required."",
  ""Preferred Qualifications"": ""N/A"", 
  ""Compensation and Benefits"": ""Base salaries starting at $80-90k based on experience and seniority, medical/dental/vision benefits, 401k with company match, profit sharing, monthly lunch allowance, unlimited vacation/sick time, remote work, home office or coworking space provided.""
}"
244,APEX Race Parts,are you a motorsport enthusiast trapped in a job where you work on boring websites that sell cogs and widgets do you wish you could use your skills to help race cars go faster instead have you been waiting for the right opportunity to align your career with your passion and hobby if so here is your chance apex race parts is looking for the right individual to join our team as our ecommerce manager and help us develop the absolute best website for purchasing lightweight race wheels we know our current site sucks which is why were about to launch a brand new one weve been working on it for years we may launch phase one of the site before you join our team but thats just a small first step your role would be to take ownership of the site going forward and drive many more feature enhancements site optimizations funnels and more to be successful in this position youll need strong leadership skills and project management experience as you grow the internal team while also overseeing outside agencies and contractors who already do a lot of the leg work if you havent built and managed a meaningful enterprise ecommerce website before  one that offers hundreds of landing pages and that required a team of designers developers and marketers to produce  then you likely dont have the experience this position requires were not looking for a catalog manager or someone to put up promotional banners we already have people for that we want an individual who would complement our existing skills our leadership team already has broad marketing experience we need someone who can own the technical portion of our digital efforts and is comfortable wearing multiple hats and getting into the trenches as needed until heshe can hand off those hats as we continue our rapid growth responsibilities own every ecommerce related projectactivity ensure all email ppc and trafficdriving programs work in harmony with the website scale and manage the internal team dedicated to ecommerce using project management software supervise outside web developers graphic designers ppc providers and other contractors to ensure adherence to predetermined strategies goals and deadlines during your first  days lead the marketing departments efforts to build highconverting sales funnels by utilizing seo ppc campaigns product feeds email and targeted landing pages manage the execution of all ab testing to research formulate and test ways to optimize the user experience uxui and increase conversions collaborate with the it department and outside vendors to establish site tagging pixel and utm strategies that support highly accurate granular data collection identify the appropriate tools that will allow us to turn that granular data into actionable effective online marketing strategies develop user journey maps identifying critical paths to conversion and providing insights that inform web design development and the testing roadmap manage the content on the site including all promotions educational content and seo collaborate with systems admin to manage product catalog promotional buildouts product feeds posting of articles and content etc in collaboration with the creative team develop frameworks that transform our social media sites into profitable platforms create weekly monthly quarterly and annual reporting on key performance metrics eg site traffic conversion analysis user behaviors roas etc in support of the companys goals for growth requirements bachelors degree in marketing management business information systems or other relevant schooling minimum  years of managerial experience with enterprise  ecommerce digital marketing and project management proven proficiency in google analytics ppc cms platforms basic html email marketing heatmapping tools and user testing demonstrable track record of using data not supposition to devise salesenhancing online strategies and improve roiroas highly analytical and skilled in researching dashboarding and reporting creative and energetic team player with a passion for achievement organized selfstarter who can prioritize assignments and manage projects independently experience with headless ecommerce is required extensive experience with project management software is also required experience in andor a passion for motorsports is highly preferred experience with  sanity mandrill and mailchimp are pluses codingdevelopment skills are also a plus cover letter requirement when submitting your application please write about the following topic in your cover letter tell us what makes you an automotivemotorsport enthusiast and how that will enable you to create a better experience for our customers if youre not into motorsports then tell us how your passion for another activity will allow you to relate to our customers needs and create an optimal online experience benefits fulltime position compensation doe medical dental and vision benefits  with employer matching stock options vacation and holiday pay work in your underwear  fully remote telecommuting supported support your track addiction with reimbursements for hpde and autocross event registration fees dedicated track car available for staff to drive at hpde events access to our shop with lift and tools to work on your car eligibility for the sema college grant and loan forgiveness program casual dress environment where tshirts jeans and shorts are welcome get employee discounts and freebies on apex products and shwag participate in company activities including karting track days vr sim racing and more,Ecommerce Manager  Remote,5540," {
  ""Core Responsibilities"": ""Take ownership of the company's ecommerce website and drive feature enhancements, optimizations, funnels, and more. Lead the marketing department's efforts to build high-converting sales funnels. Manage the execution of A/B testing. Collaborate with IT and vendors on analytics and data collection. Manage site content including promotions and SEO."",
  ""Required Skills"": ""Bachelor's degree in a relevant field. At least 5 years of managerial experience in ecommerce, digital marketing, and project management. Proficiency in Google Analytics, PPC, CMS platforms, HTML, email marketing, heatmapping, and user testing. Track record of using data to devise sales-enhancing online strategies. Highly analytical with data analysis skills. Passion for motorsports preferred."",
  ""Educational Requirements"": ""Bachelor's degree in marketing, management, business, information systems, or a relevant field."", 
  ""Experience Level"": ""Minimum 5 years of managerial experience"",
  ""Preferred Qualifications"": ""Experience with headless ecommerce. Extensive experience with project management software. Experience with Shopify, Mandrill, Mailchimp. Coding/development skills."",
  ""Compensation and Benefits"": ""Full-time position with competitive salary. Medical, dental, and vision benefits. Company matching 401k. Stock options. Paid vacation and holidays. Reimbursements for motorsports event registration fees. Access to company shop, lift, and tools. Discounts on company products. Casual dress code.""
}"
789,US Parcel Service,"our assistants are our frontline employees and a very important they work diligently to sort and make sure packages are in the correct route to ensure proper delivery timelines they work closely as a team to make sure all the behind the scenes work is done safely and successfully no day is the same we are looking to expand our team with people that care about safety quality and work at a fast pace

work when you want and get paid daily immediate openings

   per hour

flexible hours available

duties  essential job functions

 monitor the employees shipping dashboard for incoming orders and packages

 stay available to receive shipments at the designated address

 inspect product boxes for damage and take and upload photos

 consolidate or process outbound shipments according to customer wishes and instructions provided

 deliver packages to local postal locations and ship them using provided shipping labels

 working at your own at home or home office

benefits

 highly competitive compensation depending on your experience with an annual increase based on performance

  program

 health insurance

 paid time off

 medical and other employee benefits

 opportunity for longterm employment and advancement

qualifications

 no hs diploma or ged required

 prior work experience in a wholesaleretail environment preferred but not required

 the company will provide training during the probationary period

we are an equal opportunity employer in compliance with federal and state employment opportunity laws no other identity except merit and skills are considered while hiring

to perform this job successfully an individual must be able to perform each essential duty satisfactorily an individual must also be willing to follow instructions and accept supervision maintain a positive attitude toward their work and cooperate with coworkers and supervisors",Administrative Assistant - Remote / Online / Work From Home (PT/FT),1874," {
  ""Core Responsibilities"": ""Monitor employee dashboard, receive shipments, inspect packages, process orders, deliver packages, work from home office."",
  ""Required Skills"": ""No specific technical skills mentioned. Ability to work independently and as part of a team, work at a fast pace, prioritize tasks."",  
  ""Educational Requirements"": ""No HS diploma or GED required."",
  ""Experience Level"": ""Prior experience in retail/wholesale preferred but not required."",
  ""Preferred Qualifications"": ""N/A"",
  ""Compensation and Benefits"": ""Hourly pay, flexible hours, health insurance, paid time off, employee benefits, opportunity for advancement.""
}"
702,Intrepid Museum,"intrepid museum is now hiring system administrator in new york ny  view job listing details and apply now

the systems administrator is responsible for the daily operations of the it systems infrastructure and the management of the it servers and network this position is responsible for insuring that all it facilities computer systems and applications achieve and maintain a service level of  for the museum the systems administrator will adhere to all it policies and procedures and will work with the vp of it it manager and team members to develop maintain and adhere to pci gdpr ccpa it best practices and provide evidence for audit compliance the systems administrator will stay abreast of the latest it systems technology and serve as a trusted advisor to the vp of it and it manager and champion those business initiatives and goals presented by the museums departments

responsibilities include but are not limited to
 ensure that all it infrastructure computer operating systems and applications achieve and maintain a service level of  percent uptime availability annually
 maintain and verify that all network facilities and servers are maintained with the latest software updates patches and fixes required by the it vendors to maintain support
 maintain and verify that it software hardware and network facilities are maintained with the appropriate vendor maintenance and support required to ensure uptime availability at  percent
 escalate triage and handle service issues to msp as needed
 document and maintain all it network diagrams processes and procedures such that all documentation is current in a state of readiness at all times for emergency response project planning and audit compliance consistent with it industry and change management best practices
 ensure all system backups and restoration procedures are maintained and tested to insure  percent recoverability
 adhere to industry best practices for data security and audit compliance and verify that the it staff adheres to documented policies procedures and guidelines
 work with the it manager to develop and maintain a  plus percent guideline for all user help desk tickets entered within the helpstar trouble ticketing system
 stay abreast of the latest it technology trends and emerging technology so as to serve as a trusted advisor to the vp of it and it manager
 develop and provide systemnetwork availability reports and metrics for senior management to ensure the it department is meeting and exceeding its sla agreements for the museums business units
 ensure that all critical it facilities including server rooms wiring closets ups battery backup systems audio visual equipment etc are documented clean and operational at all times and that critical documentation is developed and maintained for use by the it staff and museums user community
 design and develop training programs and documents for it team members and staff
 serve as technical member of the help desk and network teams to provide direction and guidance as well as an escalation point for it related issues
 perform other duties as required by management
 available to work weekends nights and holidays as required

the ideal candidate must have year degree in information technology with a minimum of  years of experience in a highvolume help desk environment within microsoft hyper v server virtualized environment good oral and written skills with the ability to communicate with technical and nontechnical staff and all levels of management command of windows virtualized server environments and command of the latest security and disaster recovery technologies active directory exchange  microsoft sql server and office  products a must familiar with network monitoring tools and technologies as well as database file system administration and monitoring strong root cause analysis and problem resolution operating system upgrades and patch management advanced networking including vlans required good project management skills and proven track record of delivering project on time and within budgetary guidelines ability to handle sensitive information appropriately and maintain confidentiality strong interpersonal and communication skills at all levels of the organization from line workers to senior management level strong critical thinking complex problemsolving skills highly organized and ability to manage multiple tasks simultaneously knowledge of server and live production environments knowledge of online ticketing systems is a plus

intrepid realizes that it is rare an applicant meets  of the qualifications for a given role if much of this job description describes you then we encouraged you to apply

integrity credibility collaboration and commitment to intrepid museums mission are essential

we offer a competitive salary and the opportunity to be a part of a very rewarding time in the museums history

job type fulltime",System Administrator,4913," {
  ""Core Responsibilities"": ""Ensure IT infrastructure uptime and availability; maintain systems, software, hardware and network; handle service issues and troubleshooting; maintain backups and recovery procedures; document IT processes and procedures; adhere to IT policies, procedures and best practices; assist with help desk tickets"",
  ""Required Skills"": ""Degree in IT or related field; Experience with Windows, Hyper-V, Active Directory, Exchange, SQL Server, Office 365; Network monitoring and administration; Virtualization; Security and disaster recovery; Root cause analysis; Project management"",  
  ""Educational Requirements"": ""Degree in information technology or related field"",
  ""Experience Level"": ""Minimum 3 years experience in help desk and Microsoft server environments"",
  ""Preferred Qualifications"": ""Experience with ticketing systems"",
  ""Compensation and Benefits"": ""N/A""
}"
538,DISQO,"disqo is changing the way that the worlds largest brands agencies and consumer intelligence companies get to know their consumers weve built the first identitybased platform that combines consumer attitudes and behaviors together to power the most accurate and predictive insights solutions for our customers and we do all of that with the willing participation of our consumers and without using outdated technologies like thirdparty cookies we help our customers get a crossplatform view into consumer sentiment measure advertising effectiveness analyze consumer purchase journeys and ultimately grow their brands

our mission is to build the most trusted insights platform that fuels brand growth with over one million active members sharing their attitudes and behaviors disqo is looking to expand improve and create worldclass applications for people to openly share their data for research

hiring great technical talent is critical to the success of any company disqo is looking for an experienced contract senior corporate recruiter to build and execute against recruiting strategies act as a talent advisor and thought leader to our business partners and offer great experience to candidates and hiring managers

as a contract recruiter you will lead recruitment efforts to identify uniquely accomplished individuals to guide us forward you will be responsible for building strategies to engage and build relationships with worldclass talent within the software engineering communities throughout the entire process you will provide an unparalleled experience while serving as an advisor to candidates and internal partners alike

 months contract with an opportunity to convert

what you will do
 manage full cycle recruiting for multiple complex searches creating innovative sourcing strategies and engagement to bring the best talent to each role
 develop and execute fully comprehensive sourcing plans analyzing requirements to identify target profile needs and matches
 coordinate closely with recruiting team members to innovate our research strategy for talent pooling market mapping and competitor analysis
 collaborate closely with hiring managers throughout the recruiting process to ensure we meet their hiring needs and goals
 regularly manage pipeline activity and maintain data integrity and proactively share datacentric updates with internal stakeholders
 facilitate and lead meetings and key initiatives and projects with client groups and with the recruiting teams that will continuously improve and scale our recruiting operations and results
 establish and maintain meaningful relationships with management and key crossfunctional stakeholders internally eg recruiting hr compensation and diversity teams

what you bring to the table
  years experience in fullcycle recruiting focused on corp recruiting
 a blend of agency and inhouse startup experience is preferred
 strong sourcing skills with a proven track of turning passive candidates into hires
 experience leveraging niche channels to source candidates diversity and inclusion events etc
 experience using the tools of the trade ats systems we use lever linkedin leveraging social media indeed seekout dice github other sourcing tools etc
 selfstarter who enjoys a fastpaced collaborative environment great organization skills
 knowledge with recruiting tools applicant tracking systems data managementreporting techniques and software collaboration tools
 experience creating and fostering partnerships with internal leadership and executive teams
 experience influencing and driving towards results
 superb customer focus attention to detail and organization skills
 strong written and verbal communications skills
 previous startupsaas experience a plus

perks  benefits

 covered medicaldentalvision for employee  for dependents
equity
generous pto policy
flexible workplace policy
team offsites
life insurance
fsa
paid maternitypaternity leave
disability insurance
travel assistance program
 counseling services offered to employees
access to personal and professional growth tools  calm app  linkedin learning

note the benefits noted above are for full time us based employees only

disqo is an equal opportunity employer discovery innovation and growth are possible when we open ourselves to new possibilities perspectives and approaches thats why at disqo we welcome support and empower individuals from diverse backgrounds exceptional teams are rooted in extraordinary people each with a unique story and a compelling set of skills disqo does not discriminate against employees based on race color religion sex national origin gender identity or expression age disability pregnancy including childbirth breastfeeding or related medical condition genetic information protected military or veteran status sexual orientation or any other characteristic protected by applicable federal state or local laws
 recruiting firms that submit resumes to disqo without first entering into a written contract will not be entitled to any compensation on candidates referred by that firm",Senior Corporate Recruiter (Contract) - (Remote - US),5069," {
  ""Core Responsibilities"": ""Manage full cycle recruiting for multiple complex searches creating innovative sourcing strategies and engagement to bring the best talent to each role. Develop and execute fully comprehensive sourcing plans analyzing requirements to identify target profile needs and matches. Coordinate closely with recruiting team members to innovate our research strategy for talent pooling, market mapping and competitor analysis."",
  ""Required Skills"": ""2+ years experience in full-cycle recruiting focused on corp recruiting. A blend of agency and in-house startup experience is preferred. Strong sourcing skills with a proven track of turning passive candidates into hires. Experience leveraging niche channels to source candidates (diversity and inclusion events, etc). Experience using the tools of the trade (ATS systems, we use Lever, LinkedIn, Leveraging social media, Indeed, Seekout, Dice, Github, other sourcing tools, etc). Self-starter who enjoys a fast-paced collaborative environment, great organization skills. Knowledge with recruiting tools, applicant tracking systems, data management/reporting techniques and software, collaboration tools."",
  ""Educational Requirements"": ""N/A"", 
  ""Experience Level"": ""2+ years experience in full-cycle recruiting focused on corp recruiting"",
  ""Preferred Qualifications"": ""Experience creating and fostering partnerships with internal leadership and executive teams. Experience influencing and driving towards results. Superb customer focus, attention to detail and organization skills. Strong written and verbal communications skills. Previous startup/SaaS experience a plus."",
  ""Compensation and Benefits"": ""Covered medical/dental/vision for employee + for dependents. Equity. Generous PTO policy. Flexible workplace policy. Team offsites. Life insurance. FSA. Paid maternity/paternity leave. Disability insurance. Travel assistance program. Counseling services offered to employees. Access to personal and professional growth tools (Calm app + LinkedIn Learning).""
}"
797,CUSHMAN,"job title
executive administrative assistant brokerage

job description summary
cushman  wakefields new york midtown branch is seeking an executive administrative assistant to support a group of our most successful brokers in handling all administrative tasks required to facilitate the transaction of cws real estate business as well as play a significant role in increasing broker productivity

job description
 meet or exceed broker administrative and marketing support expectations
 identify and meet needs of internal and external clients
 ability to take direction research projects and work independently
 create emails letters and notes on behalf of brokers
 coordinate and update broker calendars and itineraries keep broker on time for appointments ensure meeting materials are prepared transportation and travel arrangements reservations etc
 update broker contacts especially current telephone numbers and email addresses
 organize and input broker expenses and charitable contributions track payments and allowances
 produce errorfree correspondence and presentation materials
 update and enter deals in engage
 create invoices  proposals

minimum qualifications
  years of eaa experience real estate background preferred
 bachelors degree desirable
 required skills
 excellent oral and written communication skills
 advanced people skills
 adobe creative suite and microsoft power user skills
 organized
 takes initiative
 team player
 early workday start with a flexible schedule
 multitasker
 sense of urgency about tasks or assignments
 great phone skills alert brokers when calls come in
 stable employment background
 appropriate work ethiccommitment level

cushman  wakefield provides equal employment opportunity discrimination of any type will not be tolerated cushman  wakefield is an equal opportunity  affirmative action employer all qualified applicants will receive consideration for employment without regard to race color religion sex national origin sexual orientation gender identity disability protected veteran status or any other characteristic protected by state federal or local law

in compliance with the americans with disabilities act amendments act adaaa if you have a disability and would like to request an accommodation in order to apply for a position at cushman  wakefield email hrservicescushwakecom or hrservicescwservicescom all inquiries not related to accommodations will go unanswered","Executive Administrative Assistant, Brokerage",2436," {
  ""Core Responsibilities"": ""Meet or exceed broker administrative and marketing support expectations; identify and meet needs of internal and external clients; ability to take direction, research projects and work independently; create emails, letters and notes on behalf of brokers; coordinate and update broker calendars and itineraries, keep broker on time for appointments, ensure meeting materials are prepared, transportation and travel arrangements, reservations, etc.; update broker contacts especially current telephone numbers and email addresses; organize and input broker expenses and charitable contributions, track payments and allowances; produce error-free correspondence and presentation materials; update and enter deals in Engage; create invoices, proposals"",
  ""Required Skills"": ""2+ years of EAA experience, real estate background preferred; Bachelors degree desirable; excellent oral and written communication skills; advanced people skills; Adobe Creative Suite and Microsoft Power user skills; organized; takes initiative; team player; early workday start with a flexible schedule; multitasker; sense of urgency about tasks or assignments; great phone skills, alert brokers when calls come in; stable employment background; appropriate work ethic/commitment level"",
  ""Educational Requirements"": ""Bachelors degree desirable"",
  ""Experience Level"": ""2+ years of EAA experience"",
  ""Preferred Qualifications"": ""Real estate background preferred"",
  ""Compensation and Benefits"": ""N/A""
}"
289,Swifty Web Agency,"hello seekers

were a web agency based in tilak nagar new delhi having a team of  members and looking for a creative designer to join our team

the candidate must have strong knowledge in building complete websites

working hours 

 hours daily

 am   pm  hours

 hours between  as per candidates choice

monday to saturday  days saturday is wfh

eligibility 

must have an experience of at least  year working in similar industry and must have good designing skills

language required 
 html must
 css must
 javascript must
 php preferred

skills required 
 must be an expert with wordpress environment
 good designing and communication skills
 must have some earlier experience in working with popular page builder and themes like  elementor wp bakery oxygen builder and divi theme
 woocommerce
 website speed optimisation
 chrome inspector tool

responsibilities 
 must be able to build a complete website based on details provided by client
 candidate will provide daily updates to their seniors project manager
 the candidate will have to communicate directly with clients for too and fro revisions

salary 

 to  inr",Wordpress Developer,1122," {
  ""Core Responsibilities"": ""Build complete websites based on client needs, provide daily updates to project manager, communicate with clients for revisions"",
  ""Required Skills"": ""Expert with WordPress, good designing and communication skills, 1+ years experience in similar roles, proficiency in HTML, CSS and JavaScript"", 
  ""Educational Requirements"": ""N/A"",
  ""Experience Level"": ""1+ years"",
  ""Preferred Qualifications"": ""Experience with popular page builders like Elementor, WP Bakery, Oxygen Builder, Divi theme. Knowledge of Woocommerce, website speed optimization, Chrome Inspector"",
  ""Compensation and Benefits"": ""Salary range 30,000 to 50,000 INR""
}"
